"timestamp","remainingHumans","remainingZombies","RelogoRun"
1.0,50,5,1
2.0,50,5,1
3.0,50,5,1
4.0,50,5,1
5.0,49,6,1
6.0,48,7,1
7.0,48,7,1
8.0,48,7,1
9.0,47,8,1
10.0,46,9,1
11.0,46,9,1
12.0,45,10,1
13.0,45,10,1
14.0,44,11,1
15.0,44,11,1
16.0,43,12,1
17.0,43,12,1
18.0,43,12,1
19.0,42,13,1
20.0,41,14,1
21.0,41,14,1
22.0,40,15,1
23.0,40,15,1
24.0,40,15,1
25.0,39,16,1
26.0,37,18,1
27.0,36,19,1
28.0,36,19,1
29.0,36,19,1
30.0,36,19,1
31.0,36,19,1
32.0,36,19,1
33.0,35,20,1
34.0,34,21,1
35.0,34,21,1
36.0,33,22,1
37.0,33,22,1
38.0,32,23,1
39.0,32,23,1
40.0,31,24,1
41.0,31,24,1
42.0,31,24,1
43.0,31,24,1
44.0,31,24,1
45.0,30,25,1
46.0,28,27,1
47.0,28,27,1
48.0,28,27,1
49.0,27,28,1
50.0,27,28,1
51.0,27,28,1
52.0,27,28,1
53.0,26,29,1
54.0,26,29,1
55.0,24,31,1
56.0,24,31,1
57.0,24,31,1
58.0,23,32,1
59.0,21,34,1
60.0,20,35,1
61.0,20,35,1
62.0,20,35,1
63.0,20,35,1
64.0,19,36,1
65.0,18,37,1
66.0,18,37,1
67.0,17,38,1
68.0,17,38,1
69.0,16,39,1
70.0,16,39,1
71.0,15,40,1
72.0,15,40,1
73.0,14,41,1
74.0,14,41,1
75.0,14,41,1
76.0,13,42,1
77.0,12,43,1
78.0,11,44,1
79.0,11,44,1
80.0,11,44,1
81.0,11,44,1
82.0,10,45,1
83.0,9,46,1
84.0,9,46,1
